Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
61.6	719.9	SA	LU		IT
267.8	271.7	SA	NL		IT
490.0	1040.2	SE			IT
10.8	234.6	SE	BE		IT
0.1	3.4	SE	CH		IT
8.4	527.0	SE	CH	NL	IT
0.0	0.8	SE	CW		IT
0.2	2.9	SE	CW	NL	IT
0.0	1.1	SE	DE		IT
0.1	5.8	SE	DK		IT
0.0	0.6	SE	ES		IT
2.0	42.2	SE	FR		IT
8.1	156.2	SE	GB		IT
0.0	2.7	SE	GG	DE	IT
0.3	21.2	SE	IE		IT
0.4	36.1	SE	JE		IT
0.2	30.2	SE	JE	CH	IT
0.2	19.5	SE	JE	DK	IT
0.7	51.0	SE	JE	FR	IT
3.6	88.5	SE	JE	LU	IT
10.0	335.8	SE	LU		IT
0.0	1.5	SE	LU	DE	IT
1.9	92.6	SE	LU	NL	IT
0.2	15.1	SE	MT		IT
1191.2	4641.5	SE	NL		IT
2.1	182.3	SE	US		IT
37.5	141.3	SG			IT
0.0	1.1	SG	DE		IT
31.7	810.5	SG	LU		IT
6.0	73.2	SI			IT
0.0	14.7	SI	CH		IT
3.9	50.3	SK			IT
0.0	1.5	SK	CY	DE	IT
1.0	2.4	SL			IT
206.4	342.2	SM			IT
40.5	182.0	SM	PT		IT
4.0	20.0	SN			IT
1.5	1.6	SO			IT
5.0	5.0	SY			IT
18.5	18.5	TH			IT
201.8	1394.0	TH	LU		IT
8.7	79.2	TN			IT
17.0	257.5	TN	NL		IT
56.2	222.8	TR			IT
6.0	142.0	TR	DE		IT
0.1	9.1	TR	GB		IT
7.0	105.5	TR	LU		IT
33.0	213.7	TR	NL		IT
105.4	106.3	TW			IT
139.6	585.9	TW	CW	NL	IT
0.4	7.6	TW	DE		IT
9.1	106.0	TW	FR		IT
1.0	30.4	TW	GB		IT
2.0	85.8	TW	LU		IT
18.2	147.3	TW	NL		IT
0.1	2.4	TW	NL	DE	IT
2.7	38.7	TW	SG		IT
1.0	1.5	TZ			IT
27.5	27.8	UA			IT
6.0	92.6	UA	CY		IT
872.2	882.6	UA	NL		IT
47.7	48.2	UG			IT
316.5	321.6	UG	ES		IT
4901.1	6620.0	US			IT
0.0	1.0	US	AT		IT
4.6	79.6	US	AU		IT
526.7	2824.0	US	BE		IT
0.1	9.2	US	BE	FR	IT
0.0	0.8	US	BM	CH	IT
5.0	119.5	US	BM	GB	IT
0.1	7.5	US	BM	LU	IT
34.6	248.1	US	BM	NL	IT
82.9	225.2	US	BR		IT
0.2	16.5	US	BS	GB	IT
0.5	6.4	US	CA		IT
170.1	1855.6	US	CH		IT
0.4	17.2	US	CH	ES	IT
10.1	10.2	US	CW		IT
34.6	381.8	US	CW	NL	IT
3.9	93.6	US	CY		IT
61.9	682.8	US	DE		IT
13.0	285.0	US	DK		IT
6.6	110.3	US	ES		IT
416.1	2187.2	US	FR		IT
975.4	8628.6	US	GB		IT
0.0	3.3	US	GB	DE	IT
1.7	89.5	US	GB	ES	IT
6.2	207.6	US	GB	FR	IT
19.3	419.9	US	GB	LU	IT
17.5	429.8	US	GB	NL	IT
0.1	6.7	US	GI	DE	IT
12.0	143.2	US	HK		IT
818.1	826.1	US	HU		IT
27.3	279.3	US	IE		IT
80.0	508.2	US	IE	BE	IT
1.4	34.0	US	IE	CH	IT
0.2	8.0	US	IE	DE	IT
44.4	389.6	US	IE	LU	IT
35.5	294.4	US	IE	NL	IT
0.0	0.4	US	JE		IT
0.0	4.5	US	JE	NL	IT
0.9	65.4	US	KR		IT
4125.5	14531.7	US	LU		IT
3.8	103.9	US	LU	BE	IT
0.4	21.7	US	LU	CH	IT
25.8	630.8	US	LU	DE	IT
0.2	7.0	US	LU	ES	IT
3.3	89.3	US	LU	FR	IT
0.7	45.0	US	LU	GB	IT
22.2	446.2	US	LU	NL	IT
