FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
GH	CN	-2.00	0	0	0	0
GI	CN	10.83	0	0	0	0
GR	CN	10.44	0.956	10.172	34.839	217.602
GD	CN	0.10	0	0	0	0
GT	CN	0.67	0	0	0	0
GN	CN	0.54	0	0	0	0
GW	CN	-0.03	0	0	0	0
HT	CN	5.54	0	0	0	0
HN	CN	10.97	0	0	0	0
HU	CN	220.85	0	222.262	236.996	397.261
IS	CN	111.98	0.915	10.499	64.636	209.865
IN	CN	630.71	0.772	7575.434	16637.602	46830.695
ID	CN	895.66	0	4057.255	9665.311	25451.207
IR	CN	57.14	0	59.823	88.345	380.306
IQ	CN	15.31	0	0	0	0
IE	CN	4213.95	0.732	57.833	283.788	1336.876
IL	CN	795.26	0.827	763.337	1340.629	3415.459
IT	CN	7430.35	0.735	7437.44	12471.693	26250.639
JM	CN	2.69	0	0	0	0
JP	CN	151925.55	0.061	160489.813	174474.754	210714.546
JO	CN	40.47	0	0	0	0
KZ	CN	68.90	0	0.339	5.99	72.855
KE	CN	8.17	0	0	0	0
KI	CN	1.97	0	0	0	0
KP	CN	22.72	0	22.725	22.725	22.725
KR	CN	61238.99	0.142	63283.438	72994.106	101555.099
KW	CN	849.44	0	38.699	178.06	819.697
KG	CN	9.37	0	0	0	0
LA	CN	5.98	0	0	0	0
KV	CN	-0.21	0	0	0	0
LB	CN	8.20	0	70.292	473.226	3920.691
LS	CN	1.32	0	0	0	0
LR	CN	3748.80	0	0	0	0
LY	CN	37.50	0	0	0	0
LI	CN	50.70	0.416	29.566	48.984	50.597
LT	CN	12.55	0.677	0.012	0.371	6.464
LU	CN	4286.97	0.959	0	0	0
MK	CN	2.92	0	0	0	0
MG	CN	13.80	0	0	0	0
MY	CN	7330.94	0.945	12530.349	24747.83	52973.265
ML	CN	0.18	0	0	0	0
MT	CN	159.44	0.951	0	0	0
MH	CN	274.75	0	0	0	0
MR	CN	-0.04	0	0	0	0
MU	CN	28026.60	0.889	0	0	0
MX	CN	94.59	0	193.479	455.711	1383.434
MD	CN	0.33	0	0	0	0
MC	CN	9.29	0	1.533	18.169	179.475
MN	CN	34.00	0	4.248	53.066	633.449
ME	CN	11.51	0	0	0	0
MA	CN	3.26	0	0.01	0.178	3.1
MZ	CN	0.00	0	0	0	0
MM	CN	77.74	0	0	0	0
NA	CN	6.84	0	0	0	0
NP	CN	6.45	0	0	0	0
NL	CN	31459.38	0.925	2541.632	6772.313	15300.163
NZ	CN	1150.01	0.947	637.827	1485.172	3183.011
NE	CN	5.50	0	0	0	0
NG	CN	94.18	0	0	0	0
NO	CN	531.04	0.964	469.58	1071.023	2887.047
OM	CN	93.71	0	1.625	19.296	196.698
PK	CN	23.80	0	0	0	0
PQ	CN	-0.16	0	0	0	0
PA	CN	889.74	0.885	0	0	0
PY	CN	7.71	0	0	0	0
PE	CN	6.11	0	6.528	10.554	54.698
PH	CN	2025.46	0	3092.331	5770.781	16364.354
PL	CN	206.36	0	259.38	421.302	1299.488
PT	CN	122.61	0.981	57.679	159.681	571.703
QA	CN	10.97	0	1.342	9.974	92.746
RO	CN	58.97	0	0	0	0
RU	CN	355.17	0	1362.28	4143.403	14918.193
RW	CN	1.19	0	0	0	0
WS	CN	27864.11	0.353	0	0	0
SM	CN	-0.62	0	0	0	0
SA	CN	1591.94	0.106	1624.427	1911.055	3581.475
SN	CN	6.68	0	0	0	0
RS	CN	0.00	0	0	0	0
SC	CN	2577.01	0	0	0	0
SL	CN	-0.72	0	0	0	0
SG	CN	111218.28	0.898	14364.932	30849.766	65441.932
SX	CN	-0.02	0	0	0	0
SK	CN	25.36	0	0	0	0
SI	CN	41.24	0.963	1.854	23.924	40.223
SO	CN	4.28	0	0	0	0
ZA	CN	447.96	0.816	1220.126	2249.075	4577.165
ES	CN	3109.70	0.826	1491.992	2760.49	3968.171
LK	CN	4.53	0.94	0.066	1.22	4.092
KN	CN	78.90	0	0	0	0
VC	CN	9.89	0	0	0	0
SD	CN	2.05	0	0	0	0
SR	CN	2.00	0	0	0	0
SZ	CN	503.20	0	2.977	33.096	396.362
SE	CN	7537.96	0.907	5611.0	9769.895	17565.209
CH	CN	12142.25	0.874	7132.224	12448.661	20756.02
SY	CN	9.62	0	0	0	0
TW	CN	29214.53	0.018	139819.477	215930.206	344634.968
TJ	CN	0.06	0	0	0	0
TZ	CN	33.25	0	0	0	0
TH	CN	3711.78	0.016	5209.947	8406.497	20360.131
TG	CN	0.11	0	0	0	0
TO	CN	6.01	0	0	0	0
TT	CN	2.45	0	0	0	0
TN	CN	60.96	0	0.007	0.132	2.607
TR	CN	215.82	0.342	227.751	338.338	913.849
TV	CN	0.19	0	0	0	0
