Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
AT		DE	CN	104.4770149	171.5644805	2
BE		DE	CN	27.42097647	45.02871361	2
CN	KY	DE	CN	2.896666063	26.25626399	2
US	KY	DE	CN	5.905327794	53.52769085	2
HK		DE	CN	1.321223025	2.169615414	2
CN	HK	DE	CN	12.1126148	19.8904464	2
CN		DE	CN	145.5989453	239.0918944	2
FI		DE	CN	3.310663562	5.436528549	2
FR		DE	CN	46.16488464	75.80858296	2
DE			CN	38741.89416	63619.09317	2
IN		DE	CN	73.38210514	120.5027035	2
IR		DE	CN	6.811868963	11.18595091	2
US	IE	DE	CN	4.969839087	8.161104738	2
IL		DE	CN	35.08614015	57.61588244	2
IT		DE	CN	80.76983634	132.6342931	2
JP		DE	CN	271.6380082	446.0639865	2
DE	LU	DE	CN	69.99970533	114.9483749	2
US	LU	DE	CN	92.22135881	151.4391422	2
n.a.	LU	DE	CN	6.34560317	10.42028347	2
MX		DE	CN	5.495923277	9.025001555	2
DE	NL	DE	CN	9.546975307	15.67734167	2
NL		DE	CN	9.617174519	15.79261766	2
US	NL	DE	CN	19.79620921	32.50788082	2
NO		DE	CN	5.520837755	9.065914281	2
PL		DE	CN	1.34108191	2.202226216	2
RU		DE	CN	7.586221397	12.45753561	2
SG		DE	CN	37.21058438	61.10448872	2
ES		DE	CN	31.71475524	52.07964175	2
DE	CH	DE	CN	12.16690692	19.97960095	2
CH		DE	CN	180.2440434	295.98353	2
TW		DE	CN	7.664055678	12.58534934	2
TR		DE	CN	7.231178454	11.87451016	2
CH	GB	DE	CN	2.364600817	3.882973793	2
GB		DE	CN	73.54312252	120.7671144	2
US	GB	DE	CN	1.535405801	2.521330637	2
n.a.	GB	DE	CN	0.316628274	0.519943696	2
US		DE	CN	352.6831281	579.1503301	2
n.a.	VG	DE	CN	2.153233717	3.535882266	2
n.a.		DE	CN	39.98209429	65.65565874	2
HK	GI		CN	0.016717653	0.016717653	2
n.a.		GI	CN		10.81348435	2
FR		GR	CN	20.94430326	2.026681035	1
GR			CN	44.26511999	4.283326024	1
BE	NL	GR	CN	42.64580873	4.126632942	1
MY		HN	CN	11.10044298	10.974287	1
HU			CN	7.986800249	7.986800249	2
n.a.	HU		CN	0.968304493	0.968304493	2
n.a.		HU	CN		211.8968983	2
CA		IS	CN	27.96889957	91.3446887	2
IS			CN	6.319186413	20.6380703	2
IN			CN	3235.149257	579.5090231	1
JP		IN	CN	38.42427179	6.882901047	1
IN	MU	IN	CN	16.98729207	3.042916494	1
CH		IN	CN	29.03385704	5.200805525	1
GB		IN	CN	22.17904227	3.97290947	1
US		IN	CN	179.1808413	32.09648337	1
ID			CN	254.9928821	895.6588088	2
IR			CN	177.5533389	57.144425	1
CN	KY	IE	CN	266.9982646	392.79964	2
CH	CY	IE	CN	309.5534029	455.4054514	2
FR		IE	CN	1.669118444	2.45555575	2
IE			CN	80.24112983	118.0482838	2
GB	IE		CN	2.733919514	4.022058355	2
US	IE		CN	1751.79785	2577.19115	2
NO		IE	CN	1.24240241	1.827784237	2
US		IE	CN	450.1160147	662.1968453	2
IL			CN	143.6683882	679.2031614	2
US		IL	CN	24.54898732	116.0571926	2
n.a.	BE	IT	CN	5.080097054	2.162128661	1
BR		IT	CN	0.109739947	0.046706172	1
CA		IT	CN	2.531759962	1.077536653	1
BH	KY	IT	CN	0.594165058	0.252881252	1
US	KY	IT	CN	0.550376485	0.234244496	1
CN	HK	IT	CN	229.5219257	97.68630965	1
CN		IT	CN	39.50882954	16.81526392	1
TW	CW	IT	CN	231.7520184	98.63545438	1
DK		IT	CN	12.61197027	5.367752249	1
FR		IT	CN	506.8727808	215.7289822	1
DE		IT	CN	99.10425519	42.17953876	1
IN		IT	CN	3.580531212	1.523901822	1
ID		IT	CN	4.263168713	1.814437631	1
IT			CN	13284.73203	5654.084869	1
JP		IT	CN	212.4213174	90.40815827	1
KR		IT	CN	100.4399812	42.74803411	1
BH	LU	IT	CN	46.24604373	19.99185928	1
HR	LU	IT	CN	15.60509327	6.745978759	1
IT	LU	IT	CN	132.5693611	57.30885927	1
PT	LU	IT	CN	30.27065444	13.08580399	1
QA	LU	IT	CN	21.8159243	9.430879991	1
ES	LU	IT	CN	23.77333857	10.27705725	1
GB	LU	IT	CN	205.8097888	88.97021244	1
US	LU	IT	CN	70.61541212	30.52657629	1
n.a.	MT	IT	CN	0.056561393	0.024072967	1
IT	MC	IT	CN	321.6092999	136.8794095	1
IT	NL	IT	CN	513.6068507	218.5950545	1
SE	NL	IT	CN	14.89225962	6.338261064	1
US	NL	IT	CN	4.98520415	2.121741506	1
NZ		IT	CN	0.428943018	0.182561471	1
HK	PA	IT	CN	5.597383709	2.382289869	1
PL		IT	CN	0.179907667	0.076570097	1
QA		IT	CN	14.10195629	6.001901843	1
RU		IT	CN	0.336637808	0.143275659	1
SE		IT	CN	91.28197205	38.85031445	1
IT	CH	IT	CN	5.592751526	2.380318376	1
CH		IT	CN	56.66803927	24.11835651	1
n.a.	CH	IT	CN	2.486913429	1.058449621	1
TN		IT	CN	0.600330922	0.255505491	1
IT	GB	IT	CN	161.6501969	68.7995761	1
SE	GB	IT	CN	29.406167	12.51549248	1
GB		IT	CN	112.1952614	47.75117239	1
US	GB	IT	CN	183.7744298	78.21582098	1
n.a.	GB	IT	CN	8.370696076	3.562633097	1
US		IT	CN	595.043659	253.255191	1
HK	VG	IT	CN	3.220423677	1.370637265	1
n.a.		IT	CN	43.15825083	18.36848589	1
DK		JP	CN	13.92743593	13.6388752	1
DE		JP	CN	14.19714894	13.90300006	1
JP			CN	154777.4551	151570.6411	1
KR		JP	CN	54.58564497	53.4546921	1
NL		JP	CN	0.101833012	0.099723147	1
CH		JP	CN	142.1639852	139.2185081	1
US		JP	CN	135.3992484	132.593929	1
n.a.		JP	CN	2.0417345	1.999432068	1
GB	JY		CN	253.3005786		1
KP			CN	7.018114814	22.724829	2
IN		KR	CN	35.47307279	26.62668157	1
JP		KR	CN	141.6795057	106.347006	1
KR			CN	81205.62635	60954.30096	1
SE		KR	CN	11.22850921	8.428306766	1
TW		KR	CN	49.68167192	37.29189366	1
US	GB	KR	CN	53.26449891	39.98122351	1
US		KR	CN	83.66792666	62.80254475	1
n.a.		KR	CN	4.274138207	3.208239605	1
KW			CN	23.25338384	23.25338384	2
n.a.		KW	CN		826.1858232	2
LB			CN	0.088299604	0.088299604	2
n.a.		LB	CN		8.112158396	2
LR			CN	36.87717592	36.87717592	2
n.a.		LR	CN		3711.919451	2
LI			CN	77.64441185	45.00803922	1
n.a.	CH	LI	CN	9.817546259	5.690924776	1
LT			CN	0.29627846	0.219135012	1
US		LT	CN	16.67002444	12.32956999	1
BE		LU	CN	82.93632975	286.8348307	2
CA		LU	CN	6.780257663	23.44948305	2
US	KY	LU	CN	7.178354718	24.82629948	2
n.a.	KY	LU	CN	1.709578948	5.912569192	2
FR		LU	CN	118.8374344	410.9985997	2
DE		LU	CN	57.40323443	198.5287639	2
US	IE	LU	CN	31.26157851	108.1179937	2
IT		LU	CN	0.005986659	0.020704827	2
JP		LU	CN	55.87547123	193.2450035	2
FR	LU		CN	34.89351474	120.6790248	2
DE	LU		CN	4.813764617	16.6483779	2
IN	LU		CN	93.83530442	324.5288734	2
PT	LU		CN	85.20557182	294.6829917	2
CH	LU		CN	9.517467066	32.9161064	2
US	LU		CN	33.5952048	116.1888271	2
CZ	NL	LU	CN	0.781717458	2.70356544	2
NZ		LU	CN	8.09740792	28.00483982	2
ZA		LU	CN	190.7932783	659.8574816	2
US	CH	LU	CN	39.38910164	136.2269868	2
GB		LU	CN	0.658214567	2.276431383	2
US		LU	CN	371.6515671	1285.354858	2
n.a.		LU	CN	4.328701913	14.97079126	2
SG	BM	MY	CN	3.921032934	16.34821942	2
CN	HK	MY	CN	14.37927136	59.95243784	2
CN		MY	CN	16.70877183	69.66497672	2
FR		MY	CN	2.715485729	11.3218525	2
IN		MY	CN	6.996790586	29.17217724	2
n.a.	IM	MY	CN	0.002659627	0.011088955	2
JP		MY	CN	157.6343249	657.2351147	2
IN	LU	MY	CN	248.4032879	1035.684097	2
MY			CN	959.150083	3999.04726	2
SG		MY	CN	4.502481917	18.77249274	2
ES		MY	CN	0.939125208	3.915556236	2
CH		MY	CN	9.578605271	39.9367063	2
TW		MY	CN	184.3401416	768.5814257	2
GB		MY	CN	92.31796639	384.9073436	2
US		MY	CN	39.66399098	165.3736754	2
n.a.		MY	CN	17.03224892	71.01367093	2
CN		MT	CN	6.821078375	6.821078375	2
DE	MT		CN	2.918749449	2.918749449	2
n.a.		MT	CN		149.7003822	2
US		MH	CN	14.18770787	14.18770787	2
n.a.		MH	CN		260.5603001	2
MR			CN	8.183506918	-0.036820166	1
TW		MR	CN	0.857204861	-0.003856834	1
US	BM	MU	CN	11.85038712	108.0608128	2
TW	KY	MU	CN	37.70108578	343.787079	2
CN	HK	MU	CN	114.8706088	1047.477287	2
DE		MU	CN	168.2102402	1533.86848	2
IN		MU	CN	68.03444453	620.3896379	2
US	IE	MU	CN	30.89197393	281.6964356	2
IT		MU	CN	9.297940704	84.78567153	2
MY		MU	CN	31.53959208	287.6019088	2
HK	MU		CN	0.659273983	6.143501264	2
CN	MU		CN	122.782553	1144.159771	2
SG	MU		CN	546.8982027	5096.317898	2
TW	MU		CN	35.52781911	331.0690353	2
US	MU		CN	51.10423743	476.2192279	2
SG		MU	CN	515.1556567	4697.579786	2
ZA		MU	CN	15.91830342	145.1551573	2
CH		MU	CN	63.94341865	583.0845628	2
TW		MU	CN	208.9888908	1905.719128	2
US		MU	CN	1023.547938	9333.485985	2
MX			CN	62.41829828	94.586191	2
AU		NL	CN	93.93269322	128.6990845	2
AT		NL	CN	53.50692508	73.31092124	2
BE		NL	CN	50.89998893	69.73910525	2
n.a.	BE	NL	CN	0.872730126	1.195745213	2
CN	BM	NL	CN	460.5491382	631.0076976	2
NL	BM	NL	CN	59.87415963	82.0347982	2
US	BM	NL	CN	10.93346895	14.98016715	2
BR		NL	CN	56.7393831	77.73977742	2
CA		NL	CN	35.82354232	49.08256055	2
FR	KY	NL	CN	63.78514286	114.9301562	2
NL	KY	NL	CN	9.167325988	16.51798773	2
n.a.	KY	NL	CN	7.254561257	13.0715057	2
CN	HK	NL	CN	101.5626505	139.1530435	2
CN		NL	CN	36.4565308	49.94983088	2
NL	CW	NL	CN	3493.568333	4786.608696	2
CZ		NL	CN	99.44461327	136.2510778	2
DK		NL	CN	10.72883067	14.69978809	2
FI		NL	CN	34.2578045	46.93731146	2
FR		NL	CN	977.7865648	1339.685167	2
DE		NL	CN	429.5985607	588.6016848	2
GR		NL	CN	14.30311166	19.59698284	2
